# T M
         0   10.0000
    0.0404   10.0000
    0.0808   10.0000
    0.1212   10.0000
    0.1616   10.0000
    0.2020   10.0000
    0.2424   10.0000
    0.2828   10.0000
    0.3232   10.0000
    0.3636   10.0000
    0.4040   10.0000
    0.4444   10.0000
    0.4848   10.0000
    0.5253   10.0000
    0.5657   10.0000
    0.6061   10.0000
    0.6465   10.0000
    0.6869    9.9997
    0.7273    9.9997
    0.7677    9.9995
    0.8081    9.9994
    0.8485    9.9986
    0.8889    9.9986
    0.9293    9.9962
    0.9697    9.9923
    1.0101    9.9923
    1.0505    9.9863
    1.0909    9.9889
    1.1313    9.9758
    1.1717    9.9752
    1.2121    9.9719
    1.2525    9.9636
    1.2929    9.9525
    1.3333    9.9252
    1.3737    9.9289
    1.4141    9.8889
    1.4545    9.8717
    1.4949    9.8637
    1.5354    9.8495
    1.5758    9.8345
    1.6162    9.8077
    1.6566    9.7347
    1.6970    9.6648
    1.7374    9.6236
    1.7778    9.5930
    1.8182    9.5737
    1.8586    9.4731
    1.8990    9.4031
    1.9394    9.2742
    1.9798    9.1720
    2.0202    9.0312
    2.0606    8.9120
    2.1010    8.7548
    2.1414    8.3284
    2.1818    7.7719
    2.2222    5.9091
    2.2626    2.5716
    2.3030    0.6253
    2.3434   -0.7439
    2.3838    0.1309
    2.4242    0.2234
    2.4646   -0.0934
    2.5051    0.0612
    2.5455   -0.1100
    2.5859   -0.0295
    2.6263    0.1109
    2.6667    0.1200
    2.7071   -0.0895
    2.7475    0.0172
    2.7879    0.1267
    2.8283   -0.0172
    2.8687   -0.0530
    2.9091    0.0594
    2.9495    0.1434
    2.9899    0.1116
    3.0303    0.1536
    3.0707   -0.0208
    3.1111   -0.0953
    3.1515   -0.0428
    3.1919    0.0644
    3.2323   -0.1388
    3.2727   -0.0328
    3.3131   -0.0575
    3.3535    0.0362
    3.3939   -0.0925
    3.4343   -0.1208
    3.4747   -0.0680
    3.5152    0.0117
    3.5556    0.0719
    3.5960    0.0533
    3.6364   -0.0650
    3.6768    0.0394
    3.7172   -0.0636
    3.7576   -0.0284
    3.7980    0.0178
    3.8384    0.0502
    3.8788   -0.0078
    3.9192    0.0094
    3.9596   -0.0416
    4.0000   -0.0248

